Interface              IP-Address      OK? Method Status                Protocol
FastEthernet0/0        unassigned      YES NVRAM  administratively down down    
Ethernet1/0            192.168.16.131  YES NVRAM  up                    up      
Ethernet1/1            unassigned      YES NVRAM  administratively down down    
Ethernet1/2            unassigned      YES NVRAM  administratively down down    
Ethernet1/3            unassigned      YES NVRAM  administratively down down    
FastEthernet2/0        unassigned      YES NVRAM  administratively down down    
FastEthernet2/1        unassigned      YES NVRAM  administratively down down    
GigabitEthernet3/0     unassigned      YES NVRAM  administratively down down    
FastEthernet4/0        unassigned      YES NVRAM  administratively down down    
FastEthernet4/1        unassigned      YES NVRAM  administratively down down    
POS5/0                 unassigned      YES NVRAM  administratively down down    
